2,1046,398,1278,545,car, 
3,811,366,1016,494,car, 
4,102,373,348,507,car, 
5,555,332,762,462,car, 
6,421,276,629,405,car, 
7,1210,216,1381,334,car, 
8,1005,173,1201,301,car, 
9,681,93,847,191,car, 
10,692,195,878,310,car, 
11,1065,78,1232,170,car, 
12,431,167,637,279,car, 
13,126,248,358,377,car, 
14,903,136,1053,233,car, 
15,888,41,1038,128,car, 
16,1324,99,1381,178,car, 
17,1241,25,1380,110,car, 
18,270,717,525,795,car, 
19,994,575,1085,650,motorcycle, 
20,1351,272,1381,359,car, 
21,0,562,140,689,car, 
22,1355,274,1381,348,car, 
0,727,519,965,680,car, 
1,329,506,629,701,car, 
2,1050,396,1282,544,car, 
3,822,362,1025,489,car, 
4,104,372,350,506,car, 
5,565,328,772,456,car, 
6,422,276,628,405,car, 
7,1215,215,1381,334,car, 
8,1012,171,1206,299,car, 
9,681,92,848,190,car, 
10,692,194,877,310,car, 
11,1065,77,1231,170,car, 
12,430,168,636,278,car, 
13,125,248,358,377,car, 
14,902,135,1053,232,car, 
15,888,41,1038,127,car, 
16,1324,99,1381,178,car, 
17,1241,25,1380,110,car, 
18,268,715,530,796,car, 
19,1004,572,1092,644,motorcycle, 
20,1327,98,1381,176,car, 
21,0,558,153,690,car, 
22,1355,274,1381,348,car, 
0,733,517,968,678,car, 
1,339,503,636,696,car, 
2,1057,394,1286,542,car, 
3,831,357,1035,484,car, 
4,107,371,351,504,car, 
5,576,324,783,453,car, 
6,421,275,628,404,car, 
7,1220,210,1381,332,car, 
8,1018,168,1212,297,car, 
9,681,92,848,189,car, 
10,691,194,877,310,car, 
11,1065,77,1231,169,car, 
12,430,168,635,277,car, 
13,125,248,357,377,car, 
14,903,135,1053,232,car, 
15,888,41,1038,127,car, 
16,1329,98,1381,175,car, 
17,1240,24,1380,110,car, 
18,273,710,538,796,car, 
19,1012,569,1099,643,motorcycle, 
20,1327,98,1381,176,car, 
21,0,558,153,690,car, 
22,0,552,165,690,car, 
0,739,513,974,674,car, 
1,348,499,645,692,car, 
2,1059,392,1290,536,car, 
3,840,352,1043,479,car, 
4,109,370,354,504,car, 
5,587,319,793,447,car, 
6,420,274,628,404,car, 
7,1224,210,1381,328,car, 
8,1023,166,1216,294,car, 
9,682,90,849,189,car, 
10,691,194,876,309,car, 
11,1064,77,1230,169,car, 
12,430,169,635,276,car, 
13,124,247,357,377,car, 
14,904,135,1053,232,car, 
